id,question,difficulty,category,date
1,What is your favorite machine learning algorithm and why? (Sample 1),Medium,Machine Learning,2025-05-09
2,What is the bias-variance tradeoff? (Sample 2),Medium,Machine Learning,2025-03-15
3,What are the key differences between classification and regression? (Sample 3),Medium,Machine Learning,2025-06-28
4,What is principal component analysis (PCA)? (Sample 4),Easy,Data Science,2024-09-03
5,How would you optimize a machine learning model? (Sample 5),Easy,Machine Learning,2025-01-30
6,Can you explain the concept of gradient descent? (Sample 6),Hard,Machine Learning,2025-07-25
7,Describe the process of feature selection. (Sample 7),Easy,Machine Learning,2024-11-03
8,What metrics would you use to evaluate a regression model? (Sample 8),Easy,Machine Learning,2025-06-09
9,What is the difference between bagging and boosting? (Sample 9),Medium,Machine Learning,2025-04-17
10,What is the bias-variance tradeoff? (Sample 10),Hard,Machine Learning,2025-01-07
11,What are the key differences between classification and regression? (Sample 11),Medium,Machine Learning,2024-12-23
12,What are the advantages of ensemble methods? (Sample 12),Hard,Machine Learning,2025-03-12
13,How would you explain the concept of overfitting? (Sample 13),Easy,Machine Learning,2024-10-28
14,How does a neural network work? (Sample 14),Medium,Deep Learning,2025-03-21
15,What is principal component analysis (PCA)? (Sample 15),Medium,Data Science,2024-09-10
16,Can you explain the concept of gradient descent? (Sample 16),Easy,Machine Learning,2025-06-29
17,How would you optimize a machine learning model? (Sample 17),Medium,Machine Learning,2025-04-13
18,What is regularization and why is it important? (Sample 18),Easy,Machine Learning,2025-01-22
19,How would you optimize a machine learning model? (Sample 19),Hard,Machine Learning,2025-06-23
20,Explain cross-validation and its purpose. (Sample 20),Hard,Machine Learning,2025-03-22
21,Describe the process of feature selection. (Sample 21),Hard,Machine Learning,2024-08-12
22,Explain the difference between L1 and L2 regularization. (Sample 22),Hard,Machine Learning,2025-04-17
23,What is your favorite machine learning algorithm and why? (Sample 23),Hard,Machine Learning,2024-12-24
24,Can you explain the concept of gradient descent? (Sample 24),Hard,Machine Learning,2025-05-09
25,What is regularization and why is it important? (Sample 25),Hard,Machine Learning,2025-02-13
26,What are the advantages of ensemble methods? (Sample 26),Easy,Machine Learning,2024-09-09
27,What is the difference between bagging and boosting? (Sample 27),Hard,Machine Learning,2025-01-26
28,What is the bias-variance tradeoff? (Sample 28),Easy,Machine Learning,2024-11-11
29,What metrics would you use to evaluate a regression model? (Sample 29),Medium,Machine Learning,2025-01-20
30,Describe a challenging machine learning project you have worked on. (Sample 30),Easy,Machine Learning,2024-09-10
31,Describe a challenging machine learning project you have worked on. (Sample 31),Medium,Machine Learning,2025-07-22
